x,y,z
-1.194015945,0.689365427,0.243107449
-1.249554509,0.582676837,0.243107449
-1.29558321,0.471553724,0.243107449
-1.33175174,0.356841803,0.243107449
-1.357784835,0.2394141,0.243107449
-1.373484367,0.120164312,0.243107449
-1.378730854,1.69E-16,0.243107449
-1.373484367,-0.120164312,0.243107449
-1.357784835,-0.2394141,0.243107449
-1.33175174,-0.356841803,0.243107449
-1.29558321,-0.471553724,0.243107449
-1.249554509,-0.582676837,0.243107449
-1.194015945,-0.689365427,0.243107449
-1.129390198,-0.79080753,0.243107449
-1.056169109,-0.88623111,0.243107449
-0.974909936,-0.974909936,0.243107449
-0.88623111,-1.056169109,0.243107449
-0.79080753,-1.129390198,0.243107449
-0.689365427,-1.194015945,0.243107449
-0.582676837,-1.249554509,0.243107449
-0.471553724,-1.29558321,0.243107449
-0.356841803,-1.33175174,0.243107449
-0.2394141,-1.357784835,0.243107449
-0.120164312,-1.373484367,0.243107449
-2.53E-16,-1.378730854,0.243107449
0.120164312,-1.373484367,0.243107449
0.2394141,-1.357784835,0.243107449
0.356841803,-1.33175174,0.243107449
0.471553724,-1.29558321,0.243107449
0.582676837,-1.249554509,0.243107449
0.689365427,-1.194015945,0.243107449
0.79080753,-1.129390198,0.243107449
0.88623111,-1.056169109,0.243107449
0.974909936,-0.974909936,0.243107449
1.056169109,-0.88623111,0.243107449
1.129390198,-0.79080753,0.243107449
1.194015945,-0.689365427,0.243107449
1.249554509,-0.582676837,0.243107449
1.29558321,-0.471553724,0.243107449
1.33175174,-0.356841803,0.243107449
1.357784835,-0.2394141,0.243107449
1.373484367,-0.120164312,0.243107449
1.315569669,0,0.478828201
1.310563529,0.114659452,0.478828201
1.29558321,0.228446276,0.478828201
1.27074272,0.340494486,0.478828201
1.23623111,0.449951327,0.478828201
1.192311035,0.555983767,0.478828201
1.139316754,0.657784835,0.478828201
1.077651584,0.754579763,0.478828201
1.007784835,0.845631883,0.478828201
0.930248234,0.930248234,0.478828201
0.845631883,1.007784835,0.478828201
0.754579763,1.077651584,0.478828201
0.657784835,1.139316754,0.478828201
0.555983767,1.192311035,0.478828201
0.449951327,1.23623111,0.478828201
0.340494486,1.27074272,0.478828201
0.228446276,1.29558321,0.478828201
0.114659452,1.310563529,0.478828201
8.06E-17,1.315569669,0.478828201
-0.114659452,1.310563529,0.478828201
-0.228446276,1.29558321,0.478828201
-0.340494486,1.27074272,0.478828201
-0.449951327,1.23623111,0.478828201
-0.555983767,1.192311035,0.478828201
-0.657784835,1.139316754,0.478828201
-0.754579763,1.077651584,0.478828201
-0.845631883,1.007784835,0.478828201
-0.930248234,0.930248234,0.478828201
-1.007784835,0.845631883,0.478828201
-1.077651584,0.754579763,0.478828201
-1.139316754,0.657784835,0.478828201
-1.192311035,0.555983767,0.478828201
-1.23623111,0.449951327,0.478828201
-1.27074272,0.340494486,0.478828201
-1.29558321,0.228446276,0.478828201
-1.310563529,0.114659452,0.478828201
-1.315569669,1.61E-16,0.478828201
-1.310563529,-0.114659452,0.478828201
-1.29558321,-0.228446276,0.478828201
-1.27074272,-0.340494486,0.478828201
-1.23623111,-0.449951327,0.478828201
-1.192311035,-0.555983767,0.478828201
-1.139316754,-0.657784835,0.478828201
-1.077651584,-0.754579763,0.478828201
-1.007784835,-0.845631883,0.478828201
-0.930248234,-0.930248234,0.478828201
-0.845631883,-1.007784835,0.478828201
-0.754579763,-1.077651584,0.478828201
-0.657784835,-1.139316754,0.478828201
-0.555983767,-1.192311035,0.478828201
-0.449951327,-1.23623111,0.478828201
-0.340494486,-1.27074272,0.478828201
-0.228446276,-1.29558321,0.478828201
-0.114659452,-1.310563529,0.478828201
-2.42E-16,-1.315569669,0.478828201
0.114659452,-1.310563529,0.478828201
0.228446276,-1.29558321,0.478828201
0.340494486,-1.27074272,0.478828201
0.449951327,-1.23623111,0.478828201
0.555983767,-1.192311035,0.478828201
0.657784835,-1.139316754,0.478828201
0.754579763,-1.077651584,0.478828201
0.845631883,-1.007784835,0.478828201
0.930248234,-0.930248234,0.478828201
1.007784835,-0.845631883,0.478828201
1.077651584,-0.754579763,0.478828201
1.139316754,-0.657784835,0.478828201
1.192311035,-0.555983767,0.478828201
1.23623111,-0.449951327,0.478828201
1.27074272,-0.340494486,0.478828201
1.29558321,-0.228446276,0.478828201
1.310563529,-0.114659452,0.478828201
1.212435565,0,0.7
1.205793716,0.126734026,0.7
1.185940939,0.252079528,0.7
1.153094745,0.374663194,0.7
1.107615003,0.493141972,0.7
1.05,0.606217783,0.7
0.980880977,0.712651745,0.7
0.901015217,0.811277745,0.7
0.811277745,0.901015217,0.7
0.712651745,0.980880977,0.7
0.606217783,1.05,0.7
0.493141972,1.107615003,0.7
0.374663194,1.153094745,0.7
0.252079528,1.185940939,0.7
0.126734026,1.205793716,0.7
7.42E-17,1.212435565,0.7
-0.126734026,1.205793716,0.7
-0.252079528,1.185940939,0.7
-0.374663194,1.153094745,0.7
-0.493141972,1.107615003,0.7
-0.606217783,1.05,0.7
-0.712651745,0.980880977,0.7
-0.811277745,0.901015217,0.7
